,x,y,x_scaled,y_scaled
434,2482,2049,0.6993164062499999,0.0048828125
435,2483,2049,0.700927734375,0.0048828125
436,2484,2050,0.7025390625,0.009765625
437,2485,2050,0.704150390625,0.009765625
438,2486,2050,0.7057617187499999,0.009765625
439,2487,2047,0.7073730468749999,-0.0048828125
440,2488,2046,0.708984375,-0.009765625
441,2489,2050,0.710595703125,0.009765625
442,2490,2049,0.71220703125,0.0048828125
443,2491,2050,0.7138183593749999,0.009765625
444,2492,2050,0.7154296874999999,0.009765625
445,2493,2050,0.717041015625,0.009765625
446,2494,2047,0.71865234375,-0.0048828125
447,2495,2050,0.720263671875,0.009765625
448,2496,2049,0.7218749999999999,0.0048828125
449,2497,2046,0.7234863281249999,-0.009765625
450,2498,2050,0.72509765625,0.009765625
451,2499,2049,0.726708984375,0.0048828125
452,2500,2052,0.7283203125,0.01953125
453,2501,2049,0.7299316406249999,0.0048828125
454,2502,2049,0.7315429687499999,0.0048828125
455,2503,2049,0.733154296875,0.0048828125
456,2504,2050,0.734765625,0.009765625
457,2505,2050,0.736376953125,0.009765625
458,2506,2050,0.7379882812499999,0.009765625
459,2507,2050,0.7395996093749999,0.009765625
460,2508,2049,0.7412109375,0.0048828125
461,2509,2049,0.742822265625,0.0048828125
462,2510,2050,0.74443359375,0.009765625
463,2511,2050,0.7460449218749999,0.009765625
464,2512,2050,0.7476562499999999,0.009765625
465,2513,2049,0.749267578125,0.0048828125
466,2514,2050,0.75087890625,0.009765625
467,2515,2049,0.752490234375,0.0048828125
468,2516,2050,0.7541015624999999,0.009765625
469,2517,2050,0.7557128906249999,0.009765625
470,2518,2050,0.75732421875,0.009765625
471,2519,2049,0.758935546875,0.0048828125
472,2520,2049,0.760546875,0.0048828125
473,2521,2049,0.7621582031249999,0.0048828125
474,2522,2049,0.7637695312499999,0.0048828125
475,2523,2049,0.765380859375,0.0048828125
476,2524,2049,0.7669921875,0.0048828125
477,2525,2050,0.768603515625,0.009765625
478,2526,2049,0.7702148437499999,0.0048828125
479,2527,2049,0.7718261718749999,0.0048828125
480,2528,2050,0.7734375,0.009765625
481,2529,2050,0.775048828125,0.009765625
482,2530,2049,0.77666015625,0.0048828125
483,2531,2050,0.7782714843749999,0.009765625
484,2532,2049,0.7798828124999999,0.0048828125
485,2533,2050,0.781494140625,0.009765625
486,2534,2050,0.78310546875,0.009765625
487,2535,2050,0.784716796875,0.009765625
488,2536,2050,0.7863281249999999,0.009765625
489,2537,2050,0.7879394531249999,0.009765625
490,2538,2050,0.78955078125,0.009765625
491,2539,2050,0.791162109375,0.009765625
492,2540,2044,0.7927734375,-0.01953125
493,2541,2049,0.7943847656249999,0.0048828125
494,2542,2050,0.7959960937499999,0.009765625
495,2543,2049,0.797607421875,0.0048828125
496,2544,2049,0.79921875,0.0048828125
497,2545,2050,0.800830078125,0.009765625
498,2546,2050,0.8024414062499999,0.009765625
499,2547,2050,0.8040527343749999,0.009765625
500,2548,2050,0.8056640625,0.009765625
501,2549,2049,0.807275390625,0.0048828125
502,2550,2049,0.80888671875,0.0048828125
503,2551,2050,0.8104980468749999,0.009765625
504,2552,2048,0.8121093749999999,0.0
505,2553,2046,0.813720703125,-0.009765625
506,2554,2050,0.81533203125,0.009765625
507,2555,2049,0.816943359375,0.0048828125
508,2556,2050,0.8185546874999999,0.009765625
509,2557,2050,0.8201660156249999,0.009765625
510,2558,2047,0.82177734375,-0.0048828125
511,2559,2050,0.823388671875,0.009765625
512,2560,2049,0.825,0.0048828125
513,2561,2049,0.8266113281249999,0.0048828125
514,2562,2049,0.8282226562499999,0.0048828125
515,2563,2050,0.829833984375,0.009765625
516,2564,2049,0.8314453125,0.0048828125
517,2565,2049,0.833056640625,0.0048828125
518,2566,2050,0.8346679687499999,0.009765625
519,2567,2049,0.8362792968749999,0.0048828125
520,2568,2050,0.837890625,0.009765625
521,2569,2050,0.839501953125,0.009765625
522,2570,2050,0.84111328125,0.009765625
523,2571,2049,0.8427246093749999,0.0048828125
524,2572,2050,0.8443359374999999,0.009765625
